Symbol,Description
IIAE,Invesco S&P Intl Dvlp Aristocrats ESG ETF
IIAE.F,Invesco SP Intl Div Aristocrt ESG HD ETF
IICE,Invesco SP Intl Developed ESG ETF
III,Imperial Metals Corp
IIMF,Invesco Intl Dev Dyn Mf Idx ETF
IIMF.F,Invesco International Developed Dynamic-Multifac
IIP.UN,Interrent Real Estate Investment Trust
IITE,Invesco SP Intl Develped ESG Tilt ETF
IITE.F,Invesco S&P International Developed ESG Tilt Ind
ILGB,IA Clarington Loomis Global Multisector Bond Fun
ILLM,Acuityads Holdings Inc
IMG,Iamgold Corp
IMO,Imperial Oil
IMP,Intermap Tech Corp
INC.UN,Income Fin Un
INE,Innergex Renewable Energy Inc
INE.DB.B,Innergex Renewable Energy 4.75 Pct Debs
INE.DB.C,Innergex Renewable Energy 4.65 Pct Debs
INE.PR.A,Innergex Renewable Energy Pref Ser A
INE.PR.C,Innergex Renewable Energy Inc Pref Ser C
INO.UN,Inovalis REIT
INOC,Horizons Inovestor CDN Equity Index ETF
IPCI,Intellipharmaceutics International Inc
IPCO,International Petroleum Corp
IPO,Inplay Oil Corp
IQD,CI Wisdomtree Intl Qlty Divd Growth Index ETF
IQD.B,CI Wisdomtree Intl Qlty Divd Growth Index ETF
ISIF,IA Claringtion Strategic Income Fund ETF
ISTE,Invesco S&P 500 ESG Tilt Index ETF
ISV,Information Services Corp
ITE,I3 Energy Plc
ITH,International Tower Hill Mines Ltd
IUAE.F,Invesco S&P US Dividend Aristocrats ESG Index ET
IUMF,Invesco Russell 1000 Dyn Mf Idx ETF
IUMF.F,Invesco Russell 1000 Dyn Mf Idx ETF Ch
IUTE,Invesco SP US Total Mkt ESG Tilt ETF
IVN,Ivanhoe Mines Ltd
IVQ,Invesque Inc CAD
IVQ.DB.U,Invesque Inc 5.00 Pct Debs
IVQ.DB.V,Invesque Inc 6.00 Pct Debs USD
IVQ.U,Invesque Inc
IWBE,Invesco ESG Global Bond ETF
IWEB,IA Wealth Enhanced Bond Pool
IXTE,Invesco SP TSX 60 ESG Tilt Index ETF
JAG,Jaguar Mining Inc
JAPN,CI Wisdomtree Japan Equity Index ETF
JAPN.B,CI Wisdomtree Japan Equity Index ETF
JFS.UN,Jft Strategies Fund
JOY,Journey Energy Inc
JWEL,Jamieson Wellness Inc
K,Kinross Gold Corp
KBL,Kbro Linen Inc
KEC,Kiwetinohk Energy Corp
KEG.UN,Keg Royalties Income Fund
KEI,Kolibri Global Energy Inc
KEL,Kelt Exploration Ltd
KEY,Keyera Corp
KILO,Purp Gold Bullion Tu
KILO.B,Purpose Gold Bullion Fund Non Hedged
KILO.U,Purpose Gold Bullion Fund Non Hedged USD
KITS,Kits Eyecare Ltd
KLS,Kelso Technologies Inc
KMP.UN,Killam Apartment REIT
KNT,K92 Mining Inc
KPT,Kp Tissue Inc
KRN,Karnalyte Resources Inc
KRR,Karora Resources Inc
KSI,Kneat.com Inc
KXS,Kinaxis Inc
L,Loblaw CO
L.PR.B,Loblaw Companies Ltd 2nd Pref Ser B
LAAC,Lithium Americas Argentina Corp
LABS,Medipharm Labs Corp
LAC,Lithium Americas Corp
LAM,Laramide Resources Ltd
LAS.A,Lassonde Industries Inc Cl A Sv
LB,Laurentian Bank
LB.PR.H,Laurentian Bank of Cda Pr Ser 13
LBS,Life & Banc Split Corp
LBS.PR.A,Life & Banc Split Corp
LCFS,Tidewater Renewables Ltd
LCS,Brompton Lifeco Split Corp Class A
LCS.PR.A,Brompton Lifeco Split Corp Pref Shares
LEAD,Evolve Future Leadership ETF Hedged
LEAD.B,Evolve Future Leadership ETF Unhedged
LEAD.U,Evolve Future Leadership ETF Uh USD
LEV,Lion Electric CO [The]
LEV.WT,The Lion Electric Company WT
LEV.WT.A,The Lion Electric Company Wts A
LFE,Canadian Life Companies Split Corp
LFE.PR.B,Canadian Life Split 2012 Pref Sh
LGD,Liberty Gold Corp
LGO,Largo Resources Ltd
LGT.A,Logistec Corp Cl A Mv
LGT.B,Logistec Corp Cl B Sv
LIF,Labrador Iron Ore Royalty Corp
LIFE,Evolve Global Healthcare Enhance Yld ETF
LIFE.B,Evolve Global Healthcare Enhance Yld Unheg
LIFE.U,Evolve Global Healthcare Yld Fund ETF USD
LIRC,Lithium Royalty Corp WI
LN,Loncor Gold Inc
LNF,Leons Furniture
LNR,Linamar Corp
LPAY,Horizons Long-Term U.S. Treasury Premium Yield E
LPAY.U,Horizons Long-Term U.S. Treasury Premium Yield E
LPEN,Loop Energy Inc
LSPD,Lightspeed Commerce Inc.
LSPK,Lifespeak Inc
LUC,Lucara Diamond Corp
LUG,Lundin Gold Inc
LUN,Lundin Mining Corp
LYFR,Lysander-Canso Floating Rate Activetf
MAG,MAG Silver Corp
MAL,Magellan Aero
MARI,Marimaca Copper Corp
MATR,Shawcor Ltd
MAV,Mav Beauty Brands Inc
MAW,Mawson Resources Ltd
MAYB.F,First Trust CBOE Vst US Eq Bf Hg ETF May
MBAL,Mackenzie Balanced Allocation ETF
MBX,Microbix J
MCAD,Premium Cash Management Fund ETF
MCB,Mccoy Global Inc
MCLC,Manulife Mltfactor CDN Large Cap Uh ETF
MCON,Mackenzie Conservative Allocation CAD ETF
MCSB,Mackenzie CDN Short Term Fixed Inc ETF
MCSM,Manulife Mulfact CDN Smid Cap Idx ETF
MDA,Mda Ltd
MDF,Mdf Commerce Inc
MDI,Major Drilling Grp
MDIV,Middlefield Sustainable Global Dividend
MDNA,Medicenna Therapeutics Corp
MDP,Medexus Pharmaceuticals Inc
MDS.UN,Healthcare Special Opp Fund
MDVD,Mackenzie Global Sustainable Div Idx ETF
ME,Moneta Gold Inc
MEE,Mackenzie Max Diverse Emg Mkts ETF
MEG,Meg Energy Corp
MEME.B,Manulife Multifactor Emerg Mkts Idx ETF
MEQ,Mainstreet Eq J
MEQT,Mackenzie All-Equity Allocation ETF
MESH,Evolve Metaverse ETF
MEU,Mackenzie Max Diversif Dev EUR ETF
MFC,Manulife Fin
MFC.PR.B,Manulife Financial Cl A Pref Ser 2
MFC.PR.C,Manulife Financial Cl A Pref Ser 3
MFC.PR.F,Manulife Financial Cl 1 Sh Ser 3
MFC.PR.I,Manulife Financial Pref Ser 9
MFC.PR.J,Manulife Financial Class 1 Ser 11
MFC.PR.K,Manulife Financial Pref Ser 13
MFC.PR.L,Manulife Financial Pref Ser 15
MFC.PR.M,Manulife Financial Pref Ser 17
MFC.PR.N,Manulife Financial Pref Ser 19
MFC.PR.P,Manulife Financial Class 1 Sh Ser 4
MFC.PR.Q,Manulife Financial Corp Pref Series 25
MFI,Maple Leaf Foods
MFT,Mackenzie Floating Rate Income ETF
MG,Magna International Inc
MGA,Mega Uranium Ltd
MGAB,Mackenzie Global Fixed Income Alloc ETF
MGB,Mackenzie Core Pls Glob Fixed Inc ETF
MGRW,Mackenzie Growth Allocation ETF
MHC.U,Flagship Communities Real Estate Investm
MHC.UN,Flagship Communites REIT
MHCD,Middlefield Healthcare Dividend ETF
MI.UN,Minto Apartment REIT
MIC.PR.A,Sagen MI Canada Inc
MID.UN,Mint Income Fund
MIN,Excelsior Mining Corp
MINF,Middlefield Sustainable Infrastructure D
MINN,Middlefield Innovation Dividend ETF
MINT,Manulife Mltfactor Dev Intl Hgd ETF
MINT.B,Manulife Mltfactor Dev Intl Uh ETF
MIVG,Mackenzie Ivy Global Equity ETF
MKB,Mackenzie Core Pls CDN Fixed Income ETF
MKC,Mackenzie Max Dvrs Cda Index ETF
MKP,Mcan Mortgage Corp
MKZ.UN,Mackenzie Mstr Un
MMP.UN,Precious Metals and Mining Trust
MND,Mandalay Resources Corp
MNO,Meridian Mining UK Societas
MNS,Royal CDN Mint CDN Silver Reserves Etr
MNS.U,Royal CDN Mint CDN Svr Reserves Etr USD
MNT,Royal Canadian Mint CDN Gold Reserves
MNT.U,Royal Canadian Mint CDN Gld Reserves USD
MNU.U,Purpose USD Cash Management Fnd ETF USD
MNY,Purpose Cash Management Fund ETF
MOGO,Mogo Inc
MOZ,Marathon Gold Corp
MPAY,Horizons Mid-Term U.S. Treasury Premium Yield Et
MPAY.U,Horizons MD Trm US Treas Prm Yld ETF USD
MPC,Madison Pac Cl B
MPC.C,Madison Pacific Properties Inc Cl C NV
MPCF,Mackenzie Portfolio Completion ETF
MPCT.DB.A,Dream Impact Trust 5.75%
MPCT.UN,Dream Impact Trust Units
MPVD,Mountain Province Diamonds Inc
MPY,Mulvihill Premium Yield Fund ETF
MR.DB.B,Melcor REIT 5.1 Pct Debs
MR.UN,Melcor REIT
MRC,Morguard Corp
MRD,Melcor Dev
MRE,Martinrea International Inc
MREL,Middlefield Real Estate Dividend ETF
MRG.DB.B,Morguard Na REIT 6.00 Pct Debs
MRG.UN,Morguard Na Residential REIT Units
MRT.DB.A,Morguard REIT 5.25 Pct Debs
MRT.UN,Morguard Un
MRU,Metro Inc
MSA,Mineros S.A.
MSRE.UN,Sustainable Real Estate Dividend Fund
MSV,Minco Silver Corp
MTAV,Horizons Global Metaverse Index ETF
MTL,Mullen Group Ltd
MTL.DB,Mullen Group Ltd 5.75 Pct Debs
MTY,Mty Food Group Inc
MUB,Mackenzie Unconstrained Bond ETF
MULC,Manulife Mltfactor US Large Cap Hgd ETF
MULC.B,Manulife Mltfactor US Large Cap Uh ETF
MUMC,Manulife Mltfactor US Mid Cap Hgd ETF
MUMC.B,Manulife Mltfactor US Mid Cap Uh ETF
MUS,Mackenzie Max Dvrs US Index ETF
MUSA,Middlefield US Equitydividend ETF
MUSC,Manulife Multifactor U.S. Small Cap Index ETF
MUSD.U,US Premium Cash Management Fund
MUX,Mcewen Mining Inc
MVP,Mediavalet Inc
MWD,Mackenzie Max Diversif World Dev ETF
MX,Methanex Corp
MXG,Maxim Power Corp
MXU,Mackenzie Max Divers Wrld Dev Ex Na ETF
,National Bank of Canada
NA.PR.C,National Bank Pref Ser 38
NA.PR.E,National Bank Pref Series 40
NA.PR.G,National Bank Pref Series 42
NA.PR.S,National Bank Pref Ser 30
NA.PR.W,National Bank Pref Ser 32
NALT,NBI Liquid Alternatives ETF
NANO,Nano One Materials Corp
NB,Niocorp Developments Ltd
NBLY,Neighbourly Pharmacy Inc
NCF,Northcliff Resources Ltd
NCP,Nickel Creek Platinum Corp
NCU,Nevada Copper Corp
NCU.WT.C,Nevada Copper Corp Wts C
NDIV,NBI Canadian Dividend Income ETF
NDM,Northern Dynasty Minerals Ltd
NEO,NEO Performance Materials Inc
NEXT,Nextsource Materials Inc
NFAM,NBI Canadian Family Business ETF
NFI,Nfi Group Inc.
NFI.DB,Nfi Group Inc 5 Pct Debs
NG,Novagold Res Inc
NGD,New Gold Inc
NGPE,NBI Global Private Equity ETF
NGT,Newmont Corp
NHK,Nighthawk Gold Corp
NHK.WT,Nighthawk Gold Corp Wts
NHYB,NBI High Yield Bond ETF
NINT,NBI Active International Equity ETF
NOA,North American Construction Group Ltd
NOA.DB.A,Na Construction Grp Ltd 500% Conv. Unsec. Sub DE
NOA.DB.B,North American Construc Grp 5.5 Pct Debs
NOVB.F,FT CBOE Vest US Eqty Buffer November ETF
NOVC,Nova Cannabis Inc
NPI,Northland Power Inc
NPI.PR.A,Northland Power Pref Equity Inc
NPI.PR.B,Northland Power Inc Pref Ser 2
NPK,Verde Agritech Plc
NPRF,NBI Active Canadian Preferred Sh ETF
NREA,NBI Global Real Assets Income ETF
NRR.UN,Northview Residential REIT
NSCB,NBI Sustainable Canadian Bond ETF
NSCC,NBI Sustainable CDN Corporate Bond ETF
NSCE,NBI Sustainable Canadian Equity ETF
NSGE,NBI Sustainable Global Equity ETF
NSSB,NBI Sustainable CDN Short Term Bond ETF
NTR,Nutrien Ltd
NUAG,New Pacific Metals Corp
NUBF,NBI Unconstrained Fixed Income ETF
NUMI,Numinus Wellness Inc
NUSA,NBI Active US Equity ETF
NVA,Nuvista Energy Ltd
NVEI,Nuvei Corp
NVO,Novo Resources Corp
NVO.WT.A,Novo Resources Corp Wts A
NWC,The North West Company Inc
NWH.DB.G,Northwest Healthcare Prop REIT 5.50 Debs
NWH.DB.H,Northwest Hc Prop REIT 6.25 Pct Dbs
NWH.DB.I,Northwest Hc Prop REIT 7.75 Pct Dbs
NWH.UN,Northwest Healthcare Prop REIT
NXE,Nexgen Energy Ltd
NXF,CI Energy Giants Cov Call ETF
NXF.B,CI Energy Giants ETF Unhedged
NXF.U,CI Energy Giants Covered Call ETF
NXR.UN,Nexus Real Estate Investment Trust
NXTG,First Trust Indxx Nextg ETF
OBE,Obsidian Energy Ltd
OGC,Oceanagold Corp
OGD,Orbit Garant Drilling Inc
OGI,Organigram Holdings Inc
OLA,Orla Mining Ltd
OLY,Olympia Financial Group Inc
ONC,Oncolytics Bio
ONEB,CI One North American Core Plus Bond ETF
ONEC,Accelerate Onechoice Altnv Portfolio ETF
ONEQ,CI One Global Equity ETF
ONEX,Onex Corp
OPS,Opsens Inc
OPT,Optiva Inc
OR,Osisko Gold Royalties Ltd
ORA,Aura Minerals Inc
ORE,Orezone Gold Corp
OREA,Orea Mining Corp
ORV,Orvana Minerals J
OSK,Osisko Mining Inc
OSP,Brompton Oil Split Corp
OSP.PR.A,Brompton Oil Split Corp Pref
OTEX,Open Text Corp
OVV,Ovintiv Inc
PAAS,Pan American Silver Corp
PABF,Purpose Actv Balanced Fund ETF
PACF,Purpose Actv Conservative Fund ETF
PAGF,Purpose Actv Growth Fund ETF
PAY,Payfare Inc
PAYF,Purpose Enhanced Premium Yield Fund ETF
PBD,Purpose Total Return Bond Fund ETF
PBH,Premium Brands Holdings Corp
PBH.DB.G,Premium Brands Holdings 4.65 Pct Debs
PBH.DB.H,Premium Brands Holdings 4.20 Pct Debs
PBH.DB.I,Premium Brands Hldngs Corp 5.40 Pct Debs
PBI,Purpose Best Ideas Fund ETF
PBI.B,Purpose Best Ideas Fund Non Hdg
PBL,Pollard Banknote Ltd
PBY.UN,Canso Credit Income Fund Units
PCON,Pimco Managed Conservative Bond Pool ETF
PCOR,Pimco Managed Core Bond Pool ETF
PD,Precision Drilling Corp
PDC,Invesco CDN Div Idx ETF
PDF,Purpose Core Dividend Fund ETF
PDIV,Purpose Enhanced Dividend Fund ETF
PDV,Prime Dividend Corp Cl A
PDV.PR.A,Prime Dividend Corp Pref
PEA,Pieridae Energy Ltd
PET,Pet Valu Holdings Ltd
PEY,Peyto Exploration and Dvlpmnt Corp
PFAA,Picton Mahoney Fortified Alpha Alt ETF
PFAE,Picton Mahoney Fort Act Ext Alt Fund ETF
PFCB,Picton Mahoney Fortified Core Bond ETF
PFH.F,Invesco HY Corp Bond Index ETF
PFIA,Picton Mahoney Fort Income Alt Fund ETF
PFL,Powershares 1 To 3 Yr Lad Float Rate ETF
PFLS,Picton Mahoney Frt Lng Shrt Alt Fund ETF
PFMN,Picton Mahoney Fort Mkt Neutral Fund ETF
PFMS,Picton Mahoney Multi Strat Alt Fund ETF
PFSS,Picton Mahoney Fort Special Sit Alt Fund
PGI.UN,Pimco Global Inc Opportunities Fund
PHE,Purpose Tactical Hedged Equity Fund ETF
PHE.B,Purpose Tactical Hedged Equity Fund ETF
PHR,Purpose Duration Hedged Real Estate ETF
PHW,Purpose International Tactical Hedged Equity Fun
PHX,Phx Energy Services Corp
PHYS,Sprott Physical Gold Trust CAD
PHYS.U,Sprott Physical Gold Trust USD
PIC.A,Premium Income A
PIC.PR.A,Premium Income Pr
PID,Purpose Intl Dividend Fund ETF
PIF,Polaris Infrastructure Inc
PIN,Purpose Monthly Income Fund ETF
PINC,Purpose Multi Asset Income Fund
PIX.UN,Pimco Multi Sector Income Fund
PKI,Parkland Fuel Corp
PLC,Park Lawn Corp
PLC.DB,Park Lawn Corp 5.75 Pct Debs
PLDI,Pimco Low Duration Monthly Inc ETF
PLV,Invesco Low Vol Portfolio ETF
PLZ.UN,Plaza Retail REIT
PMB.UN,Picton Mahoney Tactical Income Fund
PME,Sentry Select Primary Metals Corp
PMIF,Pimco Monthly Income Fund
PMIF.U,Pimco Monthly Income Fund
PMM,Purpose Multi Strategy Mkt Neutral Fund
PMNT,Pimco Global Short Maturity Fund ETF
PMT,Perpetual Energy Inc
PMZ.UN,Primaris REIT
PNC.A,Postmedia Network Canada Corp Cl A
PNC.B,Postmedia Network Canada Corp Cl B
PNE,Pine Cliff Energy Ltd
PNP,Pinetree Capital Ltd
POM,Polymet Mining Corp
POU,Paramount Resources Ltd
POW,Power Corp of Canada Sv
POW.PR.A,Power Corp A Pr
POW.PR.B,Power Corp Pref Shares Series B
POW.PR.C,Power Corp of Canada 5.80%
POW.PR.D,Power Corp Non-Cum 1st Pfd Shs Ser D
POW.PR.E,Power Corp Part Pr
POW.PR.G,Power Corp of Canada 5.60 Pct Pref Ser G
PPL,Pembina Pipeline Corp
PPL.PF.A,Pembina Pipeline Corp Pref Ser 21
PPL.PF.B,Pembina Pipeline Corp Pref Ser 22
PPL.PF.E,Pembina Pipeline Corp Pref Series 25
PPL.PR.A,Pembina Pipeline Corp Pref Class A
PPL.PR.C,Pembina Pipeline Corp Pref Ser 3
PPL.PR.E,Pembina Pipeline Corp Pref Ser 5
PPL.PR.G,Pembina Pipeline Corp Pref Ser 7
PPL.PR.I,Pembina Pipeline Corp Pref Ser 9
PPL.PR.O,Pembina Pipeline Corp Pref Series 15
PPL.PR.Q,Pembina Pipeline Corp Pref Series 17
PPL.PR.S,Pembina Pipeline Corp Pref Series 19
PPR,Prairie Provident Resources Inc
PPTA,Perpetua Resources Corp
PR,Lysander Slater Pref Share Activ ETF
PRA,Purpose Diversified Real Asset Fund ETF
PRB,Probe Gold Inc
PRL,Propel Holdings Inc
PRM,Big Pharma Split Corp
PRM.PR.A,Big Pharma Split Corp Pref Shares
PRMW,Primo Water Corp
PRN,Profound Medical Corp
PRQ,Petrus Resources Ltd
PRU,Perseus Mining Ltd
PRV.DB,Pro Real Estate Investment TR 8 Pct Debs
PRV.UN,Pro Real Estate Investment Trust
PSA,Purpose High Interest Savings ETF
PSB,Invesco 1 To 5 Yrladder Inv Grd Bd ETF
PSD,Pulse Seismic Inc
PSI,Pason Systems Inc
PSK,Prairiesky Royalty Ltd
PSLV,Sprott Physical Silver Trust CAD
PSLV.U,Sprott Physical Silver Trust USD
PSU.U,Purpose US Cash ETF
PTI.UN,Pimco Tactical Income Fund
PTM,Platinum Group Metals Ltd
PTO.UN,Pimco Tactical Income Opportunites Fund
PVS.PR.F,Partners Value Split Corp Pref Ser 8
PVS.PR.G,Partners Value Split Corp
PVS.PR.H,Partners Value Split Corp Pref Ser 10
PVS.PR.I,Partners Value Split Corp Pref Series 11
PVS.PR.J,Partners Value Split Corp
PVS.PR.K,Partners Value Split Corp Pref Ser 13
PWF.PF.A,Power Financial Corporation
PWF.PR.A,Power Fin Ser A Pr
PWF.PR.E,Power Fin Ser D Pr
PWF.PR.F,Power Financial Corp Pref Ser E
PWF.PR.G,Power Financial Corp 5.90% Pr Series F
PWF.PR.H,Power Financial Corp 5.75% Pr Series H
PWF.PR.K,Power Fin Corp 4.95% Ser K
PWF.PR.L,Power Financial Corp Series L Pfd
PWF.PR.O,Power Financial Corp 5.80 Pref Ser O
PWF.PR.P,Pwr Fnl Corp 4.40 Non Cumul Pref Ser P
PWF.PR.Q,Power Fin Corp 4.40 Pct Pref Ser Q
PWF.PR.R,Power Financial Corp 5.5 Pct Pref Ser R
PWF.PR.S,Power Financial Corp Pref Ser S
PWF.PR.T,Power Financial Corp 4.20 Pct Pref Ser T
PWF.PR.Z,Power Financial Corp 5.15 Pct Pref Ser V
PWI,Sustainable Power Infra Split Corp Cl A
PWI.PR.A,Sustainable Power Infra Split Corp Pr A
PXC,Invesco FTSE RAFI CAD Idx ETF
PXS,Pwrshr FTSE RAFI US Fdamntl ETF II
PXT,Parex Resources Inc
PXU.F,Invesco FTSE RAFI US Idx ETF
PYF,Purpose Premium Yield Fund ETF
PYF.U,Purpose Premium Yield Fund NH USD ETF
PYR,Pyrogenesis Canada Inc
PZA,Pizza Pizza Royalty Corp
PZW,Pwrshr FTSE RAFI Glb Sml Mid Fdamntl ETF
PZW.F,Invesco FTSE RAFI Glb Small Mid Hedge
QAH,Mackenzie US Large Cap Eqty Idx CAD Hgd
QASH,Mackenzie Canadian Ultra Short Bond Index ETF
QBB,Mackenzie CDN Aggregate Bond Index ETF
QBR.A,Quebecor Inc Cl A Mv
QBR.B,Quebecor Inc Cl B Sv
QBTC,The Bitcoin Fund CAD
QBTC.U,The Bitcoin Fund
QBTL,Agfiq US Mkt Neut Antibeta CAD Hdg ETF
QCD,Quantshrs Enh Core CDN Equity ETF
QCE,Mackenzie CDN Large Cap Equity Index ETF
QCLN,First Trust Nsdq Cln Edg Green Enrgy ETF
QCN,Mackenzie Canadian Equity Index ETF
QDX,Mackenzie International Equity Index ETF
QDXB,Mackenzie Dev Ex Na Agg Bond Idx Hgd ETF
QDXH,Mackenzie Intl Equity Index ETF CAD Hgd
QEBH,Mackenzie Emerging Mkts Bond Index ETF
QEBL,Mackenzie Emerging Mkts Local Cur Bd ETF
QEC,Questerre Energy Corp
QEE,Mackenzie Emerging Mkts Equity Index ETF
QEM,Quantshrs Enh Core Emg Mkt Eqt ETF
QETH.U,Ether Fund [The]
QETH.UN,The Ether Fund
QFOR,Q4 Inc
QHY,Mackenzie US High Yld Bnd Idx CAD Hgd
QIE,Quantshrs Enh Core Intl Equity ETF
QINF,Mackenzie Global Infrastructure Indx ETF
QIPT,Quipt Home Medical Corp
QLB,Mackenzie Canadian Government Long Bond Index ET
QMAX,Hamilton Technology Yield Maximizer ETF
QQC,Invesco Nasdaq 100 Index ETF
QQC.F,Invesco QQQ Index ETF
QQCC,Horizons Nasdaq 100 Cvrd Call ETF
QQCE,Invesco ESG Nasdaq 100 Idx ETF
QQCE.F,Invesco ESG Nasdaq 100 Idx ETF Hdg
QQCL,Horizons Enhncd Nasdaq 100 Cvrd Call ETF
QQEQ,Invesco Nasdaq 100 Equal Weight Indx ETF
QQJE,Invesco ESG Nas Next Gen 100 Idx ETF
QQJR,Invesco Nasdaq Next Gen 100 Index ETF
QQJR.F,Invesco Nasdaq Next Gen 100 Index HD ETF
QQQT,Evolve Nasdaq Tech Index Fnd Hedgd ETF
QQQT.B,Evolve Nasdaq Tech Index Fnd Unhegd ETF
QQQT.U,Evolve Nasdaq Technology Index Fund
QQQY,Evolve Nasdaq Tech Enh Yld Indx Fund ETF
QRC,Queens Road Capital Investment Ltd
QRET,Mackenzie Dev Mkts Real Estate Index ETF
QSB,Mackenzie CDN Short Term Bond Index ETF
QSP.UN,Restaurant Brands Intl Ltd Partnership
QSR,Restaurant Brands International Inc
QTLT,Mackenzie US Government Long Bond Index ETF
QTRH,Quarterhill Inc
QTRH.DB,Quarterhill Inc 6 Pct Debs
QUB,Mackenzie US Aggregate Bond Indx Hgd ETF
QUIG,Mackenzie US Inv Grd Corp Bd Idx CAD Hgd
QUS,Quantshrs Enh Core US Equity ETF
QUU,Mackenzie US Large Cap Equity Index ETF
QUU.U,Mackenzie US Large Cap Eqty Indx USD ETF
QXM,CI Morningstar Nb Quebec ETF
RA.UN,Middlefield Global Real Asset Fund
RATE,Arrow Ec Income Advantage Alt Fund ETF
RAV.UN,Ravensource Fund
RAY.A,Stingray Digital Group Inc Sv
RAY.B,Stingray Digital Group Inc Variable Sv
RBA,Rb Global Inc
RBN.UN,Blue Ribbon Income Fund
RBNK,RBC CDN Bank Yield Index ETF
RBO,RBC 1 To 5 Yr Laddered Corp Bond ETF
RBOT,Horizons Robotics Automation Idx ETF
RBOT.U,Horizons Robotics and Automa Idx ETF USD
RBY,Rubellite Energy Inc
RCD,RBC Quant CDN Dividend Leaders ETF
RCDC,RBC Canadian Dividend Covered Call ETF
RCG,RF Capital Group Inc
RCG.PR.B,RF Capital Group Inc Pref B
RCH,Richelieu Hardware Ltd
RCI.A,Rogers Communications Inc Cl A Mv
RCI.B,Rogers Communications Inc Cl B NV
RDBH,RBC US Discount Bond CAD Hedged ETF
REAL,Real Matters Inc
REI.UN,Riocan Real Est Un
RGQL,RBC Target 2024 Government Bond ETF
RGQN,RBC Target 2025 Government Bond ETF
RGQO,RBC Target 2026 Government Bond ETF
RGQP,RBC Target 2027 Government Bond ETF
RGQQ,RBC Target 2028 Government Bond ETF
RGQR,RBC Target 2029 Government Bond ETF
RIB.UN,Ridgewood CAD Invest Grade Bond Fund
RID,RBC Quant EAFE Div Leaders ETF
RID.U,RBC Quant EAFE Div Leaders USD ETF
RIDH,RBC Quant EAFE Div Leaders ETF
RIFI,Russell Invt Fixed Income Pool ETF
RIIN,Russell Invt Global Infr Pool ETF
RIRA,Russell Invt Real Assets ETF
RIT,CI Canadian REIT ETF
RLB,RBC 1 To 5 Year Laddered Can Bond ETF
ROOT,Roots Corp
RPD,RBC Quant European Div Leaders ETF
RPD.U,RBC Quant European Div Leaders ETF USD
RPDH,RBC Quant European Div Leaders ETF
RPF,RBC Canadian Pref Share ETF
RPI.UN,Richards Packaging Income Fund
RPSB,RBC Phn Short Term CDN Bond ETF
RQL,RBC Target 2024 Corp Bond Index ETF
RQN,RBC Target 2025 Corp Bond Index ETF
RQO,RBC Target 2026 Corporate Bond Index ETF
RQP,RBC Target 2027 Corporate Bond Index ETF
RQQ,RBC Target 2028 Corporate Bond Index ETF
RQR,RBC Target 2029 Corporate Bond Index ETF
RS,Real Estate and Ecommerce Split Corp
RS.PR.A,Real Estate & E-Commerce Split Corp
RSI,Rogers Sugar Inc
RSI.DB.E,Rogers Sugar Inc 5Pct Debs
RSI.DB.F,Rogers Sugar Inc 4.75 Pct Debs
RTG,Rtg Mining Inc
RUBH,RBC US Banks Yield CAD Hgd Index ETF
RUBY,RBC US Banks Yield Index ETF CAD
RUBY.U,RBC US Banks Yield Index ETF USD
RUD,RBC Quant US Div Leaders ETF
RUD.U,RBC Quant US Div Leaders USD ETF
RUDB,RBC US Discount Bond ETF
RUDB.U,RBC US Discount Bond ETF USD
RUDC,RBC U.S. Dividend Covered Call ETF
RUDC.U,RBC US Dividend Covered Call ETF USD
RUDH,RBC Quant US Div Leaders ETF
RUP,Rupert Resources Ltd
RUS,Russel Metals
RUSB,RBC Short Term US Corp Bond ETF
RUSB.U,RBC Short Term US Corp Bond USD
RVX,Resverlogix Corp
RXD,RBC Quant Emrg Mkts Div Leaders ETF
RY,Royal Bank of Canada
RY.PR.H,Royal Bank Pref Ser Bb
RY.PR.J,Royal Bank Pref Ser Bd
RY.PR.M,Royal Bank Pref Ser Bf
RY.PR.N,Royal Bank Pref Ser Bh
RY.PR.O,Royal Bank Pref Ser Bi
RY.PR.S,RBC Pref Shares Series Bo
RY.PR.Z,RBC First Pref Sh Series AZ
S,Sherritt Intl Rv
SAM,Starcore International Mines Ltd
SAP,Saputo Inc
SAU,ST Augustine Gold and Copper Ltd
SBC,Brompton Split Banc Corp Cl A
SBC.PR.A,Brompton Split Banc Corp Pref
SBI,Serabi Gold Plc
SBN,S Split Corp Cl A
SBN.PR.A,S Split Corp Pref A
SBT,Purpose Silver Bullion ETF
SBT.B,Silver Bullion Trust CAD ETF Non Cur
SBT.U,Silver Bullion Trust USD ETF Non Cur
SCR,Strathcona Resources Ltd.
SCY,Scandium International Mining Corp
SDE,Spartan Delta Corp
SEA,Seabridge Gold Inc
SEC,Senvest Capital
SES,Secure Energy Services Inc
SFC,Sagicor Financial Company Ltd
SFC.WT,Sagicor Financial Company Ltd WT
SFD,Nxt Energy Solutions Inc
SFI,Solution Financial Inc
SFTC,Softchoice Corp
SGLD,Sabre Gold Mines Corp
SGNL,Signal Gold Inc
SGR.U,Slate Grocery REIT USD
SGR.UN,Slate Grocery REIT
SGY,Surge Energy Inc
SGY.DB.A,Surge Energy Inc 6.75 Pct Debs
SGY.DB.B,Surge Energy Inc. 8.50%
